Samples	CBSX__HNSCC__B_cells	CBSX__HNSCC__T_cells_CD8	CBSX__HNSCC__T_cells_CD4	CBSX__HNSCC__Macrophages	CBSX__HNSCC__Dendritic_cells	CBSX__HNSCC__Mast_cells	CBSX__HNSCC__Myocytes	CBSX__HNSCC__CAFs	CBSX__HNSCC__Endothelial_cells	CBSX__HNSCC__Malignant_cells
LUNG-NSCLC2-0704	0	0	0	0.08019180702457787	0.03799470934211633	0	0	0.698794711574084	0.1830187720592217	0
LUNG-NSCLC2-0705	0	0	0.16268293931762326	0.11704676442372532	9.1438659283701e-4	0	0	0.6388172637862982	0.08053864587951626	0
LUNG-NSCLC2-0707	0	0	0.1315359417326504	0.37548286922873986	0	0	0	0.3105611441324833	0.18242004490612648	0
LUNG-NSCLC2-0709	1.178394627259e-4	0	0.1404343912063836	0.03494637522139783	0.11454612913229426	0.00183109069599133	0	0.5818757712876194	0.12624840299358772	0
LUNG-NSCLC2-0711	0.00444373037021369	0	0.21440480747567872	0.08825228143428271	0.06261640550632548	0	0	0.4896206914721809	0.06452132987982491	0.07614075386149356
LUNG-NSCLC2-0712	0	0	0.0642057737539827	0.07669838159756351	0.08459181909525035	0	0	0.6034044411893105	0.17109958436389291	0
LUNG-NSCLC2-0713	9.2305441191608e-4	0	0.2059986236886982	0.12865350675937504	0.00975761995352095	0	0	0.6160466430113859	0.03862055217510379	0
LUNG-NSCLC2-0714	0	0	0.09124911092412534	0.17307664819322333	0.0862901419843	0	0	0.5211021353980755	0.12828196350027585	0
LUNG-NSCLC2-0715	0	0	0.16713653619763727	0.12995411231259205	0	8.1522926933225e-4	0	0.4968367631891288	0.20525735903130973	0
LUNG-NSCLC2-0717	4.2511424156472e-4	0	0	0	0.18888961839130497	0	0	0.47103413122423937	0.08288347477577761	0.2567676613671134
LUNG-NSCLC2-0718	0.00135141626414909	0	0.07154308121774819	0.2969730371103358	0	0	0	0.5428655607085436	0.0872669046992233	0
LUNG-NSCLC2-0720	0	0	0.18423936215420625	0.13107189015545828	0.08299180659615371	0	0	0.4482251626230695	0.15347177847111235	0
LUNG-NSCLC2-0727	0	0	0.09225710788862988	0.17268827093022926	0.01742890033982392	0	0	0.5476952563910437	0.16993046445027335	0
LUNG-NSCLC2-0728	0.0015917959509397	0	0.1908827582964832	0.19683418287256493	0.02247266457347686	0	0	0.38691829812953665	0.20130030017699865	0
LUNG-NSCLC2-0729	0	0	0.11101151058564812	0.07586832186894903	0.00991445149820053	0	0	0.5154024389974933	0.28780327704970904	0
LUNG-NSCLC2-0730	0.00240920508807794	0	0.05062185179003346	0.09339475640018244	0	0.01880758566956612	0	0.6421417361692254	0.1926248648829146	0
LUNG-NSCLC2-0732	5.2646990006707e-4	0	0.1778618566484241	0.12977723307327751	0.12125511149447878	0	0	0.4572837658712596	0.11329556301249276	0
LUNG-NSCLC2-0733	3.8743426257652e-4	0	0.19100124730007703	0.09419246473679992	0	0	0	0.6816527212697904	0.03276613243075616	0
LUNG-NSCLC2-0734	0	0	0.30839146377094373	0.3018247185423709	0	0.00389719492081935	0	0.22602710371310372	0.15985951905276216	0
LUNG-NSCLC2-0736	0	0	0.05352243160425586	0.152973196880686	0.00604008114562936	0	0	0.5406728681179699	0.24679142225145895	0
LUNG-NSCLC2-0737	0	0	0.02351713530689263	0.1817820067168829	0.03789922645489477	0	0	0.5630086191781342	0.19379301234319557	0
LUNG-NSCLC2-0738	0.0027877449859342	0	0.1201892363353531	0.0769502049588331	0.11735914850944536	0	0	0.49179277924720993	0.0405338605272848	0.15038702543593968
LUNG-NSCLC2-0740	0	0	0.2196047749029282	0.01216926467487013	0.00737495514428603	0	0	0.5980003890285367	0.1628506162493789	0
LUNG-NSCLC2-0742	0.00204534254594971	0	0.1379334220840005	0.14670968986310637	0.03330240751561774	0	0	0.5729597717937556	0.10704936619757026	0
LUNG-NSCLC2-0743	0	0	0.08155056777742849	0.2743816309946116	0	0	0	0.4395901591912922	0.20447764203666768	0
